position,clausal conjunction,adverbial indicator,NP-VP-NP,score
0.8,0.9,0.2,0.6,0.625674119426
0.8,0.9,0.2,0.7,0.644002167159
0.8,0.9,0.2,0.8,0.662218286258
0.1,0.0,0.0,0.6,0.672926879636
0.8,0.9,0.2,0.9,0.672926879636
0.8,0.9,0.2,1.0,0.672926879636
0.8,0.9,0.3,0.0,0.579670292884
0.8,0.9,0.3,0.1,0.597980232619
0.8,0.9,0.3,0.2,0.601670602787
0.8,0.9,0.3,0.3,0.603217561817
0.8,0.9,0.3,0.4,0.607316307767
0.8,0.9,0.3,0.5,0.622115404962
0.8,0.9,0.3,0.6,0.625674119426
0.8,0.9,0.3,0.7,0.644002167159
0.1,0.0,0.0,0.7,0.672926879636
0.8,0.9,0.3,0.8,0.662218286258
0.8,0.9,0.3,0.9,0.672926879636
0.8,0.9,0.3,1.0,0.672926879636
0.8,0.9,0.4,0.0,0.579670292884
0.8,0.9,0.4,0.1,0.579670292884
0.8,0.9,0.4,0.2,0.601670602787
0.8,0.9,0.4,0.3,0.603217561817
0.8,0.9,0.4,0.4,0.607316307767
0.8,0.9,0.4,0.5,0.622115404962
0.8,0.9,0.4,0.6,0.625674119426
0.1,0.0,0.0,0.8,0.672926879636
0.8,0.9,0.4,0.7,0.644002167159
0.8,0.9,0.4,0.8,0.662218286258
0.8,0.9,0.4,0.9,0.672926879636
0.8,0.9,0.4,1.0,0.672926879636
0.8,0.9,0.5,0.0,0.579670292884
0.8,0.9,0.5,0.1,0.579670292884
0.8,0.9,0.5,0.2,0.583360663052
0.8,0.9,0.5,0.3,0.603217561817
0.8,0.9,0.5,0.4,0.607316307767
0.8,0.9,0.5,0.5,0.622115404962
0.1,0.0,0.0,0.9,0.672926879636
0.8,0.9,0.5,0.6,0.625674119426
0.8,0.9,0.5,0.7,0.644002167159
0.8,0.9,0.5,0.8,0.662218286258
0.8,0.9,0.5,0.9,0.672926879636
0.8,0.9,0.5,1.0,0.672926879636
0.8,0.9,0.6,0.0,0.579670292884
0.8,0.9,0.6,0.1,0.579670292884
0.8,0.9,0.6,0.2,0.583360663052
0.8,0.9,0.6,0.3,0.584907622082
0.8,0.9,0.6,0.4,0.607316307767
0.1,0.0,0.0,1.0,0.672926879636
0.8,0.9,0.6,0.5,0.622115404962
0.8,0.9,0.6,0.6,0.625674119426
0.8,0.9,0.6,0.7,0.644002167159
0.8,0.9,0.6,0.8,0.662218286258
0.8,0.9,0.6,0.9,0.672926879636
0.8,0.9,0.6,1.0,0.672926879636
0.8,0.9,0.7,0.0,0.579670292884
0.8,0.9,0.7,0.1,0.579670292884
0.8,0.9,0.7,0.2,0.583360663052
0.8,0.9,0.7,0.3,0.584907622082
0.1,0.0,0.1,0.0,0.654616939901
0.0,0.1,0.3,0.4,0.672926879636
0.8,0.9,0.7,0.4,0.589006368032
0.8,0.9,0.7,0.5,0.622115404962
0.8,0.9,0.7,0.6,0.625674119426
0.8,0.9,0.7,0.7,0.644002167159
0.8,0.9,0.7,0.8,0.662218286258
0.8,0.9,0.7,0.9,0.672926879636
0.8,0.9,0.7,1.0,0.672926879636
0.8,0.9,0.8,0.0,0.579670292884
0.8,0.9,0.8,0.1,0.579670292884
0.8,0.9,0.8,0.2,0.583360663052
0.1,0.0,0.1,0.1,0.672926879636
0.8,0.9,0.8,0.3,0.584907622082
0.8,0.9,0.8,0.4,0.589006368032
0.8,0.9,0.8,0.5,0.603805465227
0.8,0.9,0.8,0.6,0.625674119426
0.8,0.9,0.8,0.7,0.644002167159
0.8,0.9,0.8,0.8,0.662218286258
0.8,0.9,0.8,0.9,0.672926879636
0.8,0.9,0.8,1.0,0.672926879636
0.8,0.9,0.9,0.0,0.579670292884
0.8,0.9,0.9,0.1,0.579670292884
0.1,0.0,0.1,0.2,0.672926879636
0.8,0.9,0.9,0.2,0.583360663052
0.8,0.9,0.9,0.3,0.584907622082
0.8,0.9,0.9,0.4,0.589006368032
0.8,0.9,0.9,0.5,0.603805465227
0.8,0.9,0.9,0.6,0.607364179691
0.8,0.9,0.9,0.7,0.644002167159
0.8,0.9,0.9,0.8,0.662218286258
0.8,0.9,0.9,0.9,0.672926879636
0.8,0.9,0.9,1.0,0.672926879636
0.8,0.9,1.0,0.0,0.579670292884
0.1,0.0,0.1,0.3,0.672926879636
0.8,0.9,1.0,0.1,0.579670292884
0.8,0.9,1.0,0.2,0.583360663052
0.8,0.9,1.0,0.3,0.584907622082
0.8,0.9,1.0,0.4,0.589006368032
0.8,0.9,1.0,0.5,0.603805465227
0.8,0.9,1.0,0.6,0.607364179691
0.8,0.9,1.0,0.7,0.625692227424
0.8,0.9,1.0,0.8,0.662218286258
0.8,0.9,1.0,0.9,0.672926879636
0.8,0.9,1.0,1.0,0.672926879636
0.1,0.0,0.1,0.4,0.672926879636
0.8,1.0,0.0,0.1,0.597980232619
0.8,1.0,0.0,0.3,0.601670602787
0.8,1.0,0.0,0.5,0.607316307767
0.8,1.0,0.0,0.7,0.625674119426
0.8,1.0,0.0,0.9,0.662218286258
0.8,1.0,0.1,0.1,0.597980232619
0.8,1.0,0.1,0.2,0.597980232619
0.8,1.0,0.1,0.3,0.601670602787
0.8,1.0,0.1,0.4,0.603217561817
0.8,1.0,0.1,0.5,0.607316307767
0.1,0.0,0.1,0.5,0.672926879636
0.8,1.0,0.1,0.6,0.622115404962
0.8,1.0,0.1,0.7,0.625674119426
0.8,1.0,0.1,0.8,0.644002167159
0.8,1.0,0.1,0.9,0.662218286258
0.8,1.0,0.1,1.0,0.669746627716
0.8,1.0,0.2,0.1,0.597980232619
0.8,1.0,0.2,0.3,0.601670602787
0.8,1.0,0.2,0.5,0.607316307767
0.8,1.0,0.2,0.7,0.625674119426
0.8,1.0,0.2,0.9,0.662218286258
0.1,0.0,0.1,0.6,0.672926879636
0.8,1.0,0.3,0.0,0.579670292884
0.8,1.0,0.3,0.1,0.597980232619
0.8,1.0,0.3,0.2,0.597980232619
0.8,1.0,0.3,0.3,0.601670602787
0.8,1.0,0.3,0.4,0.603217561817
0.8,1.0,0.3,0.5,0.607316307767
0.8,1.0,0.3,0.6,0.622115404962
0.8,1.0,0.3,0.7,0.625674119426
0.8,1.0,0.3,0.8,0.644002167159
0.8,1.0,0.3,0.9,0.662218286258
0.1,0.0,0.1,0.7,0.672926879636
0.8,1.0,0.3,1.0,0.669746627716
0.8,1.0,0.4,0.1,0.579670292884
0.8,1.0,0.4,0.3,0.601670602787
0.8,1.0,0.4,0.5,0.607316307767
0.8,1.0,0.4,0.7,0.625674119426
0.8,1.0,0.4,0.9,0.662218286258
0.8,1.0,0.5,0.0,0.579670292884
0.8,1.0,0.5,0.1,0.579670292884
0.8,1.0,0.5,0.2,0.579670292884
0.8,1.0,0.5,0.3,0.601670602787
0.1,0.0,0.1,0.8,0.672926879636
0.8,1.0,0.5,0.4,0.603217561817
0.8,1.0,0.5,0.5,0.607316307767
0.8,1.0,0.5,0.6,0.622115404962
0.8,1.0,0.5,0.7,0.625674119426
0.8,1.0,0.5,0.8,0.644002167159
0.8,1.0,0.5,0.9,0.662218286258
0.8,1.0,0.5,1.0,0.669746627716
0.8,1.0,0.6,0.1,0.579670292884
0.8,1.0,0.6,0.3,0.583360663052
0.8,1.0,0.6,0.5,0.607316307767
0.1,0.0,0.1,0.9,0.672926879636
0.8,1.0,0.6,0.7,0.625674119426
0.8,1.0,0.6,0.9,0.662218286258
0.8,1.0,0.7,0.0,0.579670292884
0.8,1.0,0.7,0.1,0.579670292884
0.8,1.0,0.7,0.2,0.579670292884
0.8,1.0,0.7,0.3,0.583360663052
0.8,1.0,0.7,0.4,0.584907622082
0.8,1.0,0.7,0.5,0.607316307767
0.8,1.0,0.7,0.6,0.622115404962
0.8,1.0,0.7,0.7,0.625674119426
0.1,0.0,0.1,1.0,0.672926879636
0.0,0.1,0.3,0.5,0.672926879636
0.8,1.0,0.7,0.8,0.644002167159
0.8,1.0,0.7,0.9,0.662218286258
0.8,1.0,0.7,1.0,0.669746627716
0.8,1.0,0.8,0.1,0.579670292884
0.8,1.0,0.8,0.3,0.583360663052
0.8,1.0,0.8,0.5,0.589006368032
0.8,1.0,0.8,0.7,0.625674119426
0.8,1.0,0.8,0.9,0.662218286258
0.8,1.0,0.9,0.0,0.579670292884
0.8,1.0,0.9,0.1,0.579670292884
0.1,0.0,0.2,0.0,0.654616939901
0.8,1.0,0.9,0.2,0.579670292884
0.8,1.0,0.9,0.3,0.583360663052
0.8,1.0,0.9,0.4,0.584907622082
0.8,1.0,0.9,0.5,0.589006368032
0.8,1.0,0.9,0.6,0.603805465227
0.8,1.0,0.9,0.7,0.625674119426
0.8,1.0,0.9,0.8,0.644002167159
0.8,1.0,0.9,0.9,0.662218286258
0.8,1.0,0.9,1.0,0.669746627716
0.8,1.0,1.0,0.1,0.579670292884
0.1,0.0,0.2,0.1,0.654616939901
0.8,1.0,1.0,0.3,0.583360663052
0.8,1.0,1.0,0.5,0.589006368032
0.8,1.0,1.0,0.7,0.607364179691
0.8,1.0,1.0,0.9,0.662218286258
0.9,0.0,0.0,0.1,0.672926879636
0.9,0.0,0.0,0.2,0.672926879636
0.9,0.0,0.0,0.4,0.672926879636
0.9,0.0,0.0,0.5,0.672926879636
0.9,0.0,0.0,0.7,0.672926879636
0.9,0.0,0.0,0.8,0.672926879636
0.1,0.0,0.2,0.2,0.672926879636
0.9,0.0,0.0,1.0,0.672926879636
0.9,0.0,0.1,0.0,0.672926879636
0.9,0.0,0.1,0.1,0.672926879636
0.9,0.0,0.1,0.2,0.672926879636
0.9,0.0,0.1,0.3,0.672926879636
0.9,0.0,0.1,0.4,0.672926879636
0.9,0.0,0.1,0.5,0.672926879636
0.9,0.0,0.1,0.6,0.672926879636
0.9,0.0,0.1,0.7,0.672926879636
0.9,0.0,0.1,0.8,0.672926879636
0.1,0.0,0.2,0.3,0.672926879636
0.9,0.0,0.1,0.9,0.672926879636
0.9,0.0,0.1,1.0,0.672926879636
0.9,0.0,0.2,0.0,0.672926879636
0.9,0.0,0.2,0.1,0.672926879636
0.9,0.0,0.2,0.2,0.672926879636
0.9,0.0,0.2,0.3,0.672926879636
0.9,0.0,0.2,0.4,0.672926879636
0.9,0.0,0.2,0.5,0.672926879636
0.9,0.0,0.2,0.6,0.672926879636
0.9,0.0,0.2,0.7,0.672926879636
0.1,0.0,0.2,0.4,0.672926879636
0.9,0.0,0.2,0.8,0.672926879636
0.9,0.0,0.2,0.9,0.672926879636
0.9,0.0,0.2,1.0,0.672926879636
0.9,0.0,0.3,0.1,0.672926879636
0.9,0.0,0.3,0.2,0.672926879636
0.9,0.0,0.3,0.4,0.672926879636
0.9,0.0,0.3,0.5,0.672926879636
0.9,0.0,0.3,0.7,0.672926879636
0.9,0.0,0.3,0.8,0.672926879636
0.9,0.0,0.3,1.0,0.672926879636
0.1,0.0,0.2,0.5,0.672926879636
0.9,0.0,0.4,0.0,0.654616939901
0.9,0.0,0.4,0.1,0.672926879636
0.9,0.0,0.4,0.2,0.672926879636
0.9,0.0,0.4,0.3,0.672926879636
0.9,0.0,0.4,0.4,0.672926879636
0.9,0.0,0.4,0.5,0.672926879636
0.9,0.0,0.4,0.6,0.672926879636
0.9,0.0,0.4,0.7,0.672926879636
0.9,0.0,0.4,0.8,0.672926879636
0.9,0.0,0.4,0.9,0.672926879636
0.1,0.0,0.2,0.6,0.672926879636
0.9,0.0,0.4,1.0,0.672926879636
0.9,0.0,0.5,0.0,0.654616939901
0.9,0.0,0.5,0.1,0.654616939901
0.9,0.0,0.5,0.2,0.672926879636
0.9,0.0,0.5,0.3,0.672926879636
0.9,0.0,0.5,0.4,0.672926879636
0.9,0.0,0.5,0.5,0.672926879636
0.9,0.0,0.5,0.6,0.672926879636
0.9,0.0,0.5,0.7,0.672926879636
0.9,0.0,0.5,0.8,0.672926879636
0.1,0.0,0.2,0.7,0.672926879636
0.9,0.0,0.5,0.9,0.672926879636
0.9,0.0,0.5,1.0,0.672926879636
0.9,0.0,0.6,0.1,0.654616939901
0.9,0.0,0.6,0.2,0.654616939901
0.9,0.0,0.6,0.4,0.672926879636
0.9,0.0,0.6,0.5,0.672926879636
0.9,0.0,0.6,0.7,0.672926879636
0.9,0.0,0.6,0.8,0.672926879636
0.9,0.0,0.6,1.0,0.672926879636
0.9,0.0,0.7,0.0,0.654616939901
0.1,0.0,0.2,0.8,0.672926879636
0.9,0.0,0.7,0.1,0.654616939901
0.9,0.0,0.7,0.2,0.654616939901
0.9,0.0,0.7,0.3,0.654616939901
0.9,0.0,0.7,0.4,0.672926879636
0.9,0.0,0.7,0.5,0.672926879636
0.9,0.0,0.7,0.6,0.672926879636
0.9,0.0,0.7,0.7,0.672926879636
0.9,0.0,0.7,0.8,0.672926879636
0.9,0.0,0.7,0.9,0.672926879636
0.9,0.0,0.7,1.0,0.672926879636
0.1,0.0,0.2,0.9,0.672926879636
0.0,0.1,0.3,0.6,0.672926879636
0.9,0.0,0.8,0.0,0.654616939901
0.9,0.0,0.8,0.1,0.654616939901
0.9,0.0,0.8,0.2,0.654616939901
0.9,0.0,0.8,0.3,0.654616939901
0.9,0.0,0.8,0.4,0.654616939901
0.9,0.0,0.8,0.5,0.672926879636
0.9,0.0,0.8,0.6,0.672926879636
0.9,0.0,0.8,0.7,0.672926879636
0.9,0.0,0.8,0.8,0.672926879636
0.9,0.0,0.8,0.9,0.672926879636
0.1,0.0,0.2,1.0,0.672926879636
0.9,0.0,0.8,1.0,0.672926879636
0.9,0.0,0.9,0.1,0.654616939901
0.9,0.0,0.9,0.2,0.654616939901
0.9,0.0,0.9,0.4,0.654616939901
0.9,0.0,0.9,0.5,0.654616939901
0.9,0.0,0.9,0.7,0.672926879636
0.9,0.0,0.9,0.8,0.672926879636
0.9,0.0,0.9,1.0,0.672926879636
0.9,0.0,1.0,0.0,0.654616939901
0.9,0.0,1.0,0.2,0.654616939901
0.1,0.0,0.3,0.0,0.654616939901
0.9,0.0,1.0,0.3,0.654616939901
0.9,0.0,1.0,0.4,0.654616939901
0.9,0.0,1.0,0.5,0.654616939901
0.9,0.0,1.0,0.6,0.654616939901
0.9,0.0,1.0,0.7,0.672926879636
0.9,0.0,1.0,0.8,0.672926879636
0.9,0.0,1.0,0.9,0.672926879636
0.9,0.0,1.0,1.0,0.672926879636
0.9,0.1,0.0,0.0,0.662218286258
0.9,0.1,0.0,0.1,0.672926879636
0.1,0.0,0.3,0.1,0.654616939901
0.9,0.1,0.0,0.2,0.672926879636
0.9,0.1,0.0,0.3,0.672926879636
0.9,0.1,0.0,0.4,0.672926879636
0.9,0.1,0.0,0.5,0.672926879636
0.9,0.1,0.0,0.6,0.672926879636
0.9,0.1,0.0,0.7,0.672926879636
0.9,0.1,0.0,0.8,0.672926879636
0.9,0.1,0.0,0.9,0.672926879636
0.9,0.1,0.0,1.0,0.672926879636
0.9,0.1,0.1,0.0,0.662218286258
0.1,0.0,0.3,0.2,0.654616939901
0.9,0.1,0.1,0.1,0.672926879636
0.9,0.1,0.1,0.2,0.672926879636
0.9,0.1,0.1,0.3,0.672926879636
0.9,0.1,0.1,0.4,0.672926879636
0.9,0.1,0.1,0.5,0.672926879636
0.9,0.1,0.1,0.6,0.672926879636
0.9,0.1,0.1,0.7,0.672926879636
0.9,0.1,0.1,0.8,0.672926879636
0.9,0.1,0.1,0.9,0.672926879636
0.9,0.1,0.1,1.0,0.672926879636
0.1,0.0,0.3,0.3,0.672926879636
0.9,0.1,0.2,0.0,0.662218286258
0.9,0.1,0.2,0.1,0.672926879636
0.9,0.1,0.2,0.2,0.672926879636
0.9,0.1,0.2,0.3,0.672926879636
0.9,0.1,0.2,0.4,0.672926879636
0.9,0.1,0.2,0.5,0.672926879636
0.9,0.1,0.2,0.6,0.672926879636
0.9,0.1,0.2,0.7,0.672926879636
0.9,0.1,0.2,0.8,0.672926879636
0.9,0.1,0.2,0.9,0.672926879636
0.1,0.0,0.3,0.4,0.672926879636
0.9,0.1,0.2,1.0,0.672926879636
0.9,0.1,0.3,0.0,0.662218286258
0.9,0.1,0.3,0.1,0.672926879636
0.9,0.1,0.3,0.2,0.672926879636
0.9,0.1,0.3,0.3,0.672926879636
0.9,0.1,0.3,0.4,0.672926879636
0.9,0.1,0.3,0.5,0.672926879636
0.9,0.1,0.3,0.6,0.672926879636
0.9,0.1,0.3,0.7,0.672926879636
0.9,0.1,0.3,0.8,0.672926879636
0.1,0.0,0.3,0.5,0.672926879636
0.9,0.1,0.3,0.9,0.672926879636
0.9,0.1,0.3,1.0,0.672926879636
0.9,0.1,0.4,0.0,0.643908346523
0.9,0.1,0.4,0.1,0.672926879636
0.9,0.1,0.4,0.2,0.672926879636
0.9,0.1,0.4,0.3,0.672926879636
0.9,0.1,0.4,0.4,0.672926879636
0.9,0.1,0.4,0.5,0.672926879636
0.9,0.1,0.4,0.6,0.672926879636
0.9,0.1,0.4,0.7,0.672926879636
0.1,0.0,0.3,0.6,0.672926879636
0.9,0.1,0.4,0.8,0.672926879636
0.9,0.1,0.4,0.9,0.672926879636
0.9,0.1,0.4,1.0,0.672926879636
0.9,0.1,0.5,0.0,0.643908346523
0.9,0.1,0.5,0.1,0.654616939901
0.9,0.1,0.5,0.2,0.672926879636
0.9,0.1,0.5,0.3,0.672926879636
0.9,0.1,0.5,0.4,0.672926879636
0.9,0.1,0.5,0.5,0.672926879636
0.9,0.1,0.5,0.6,0.672926879636
0.1,0.0,0.3,0.7,0.672926879636
0.9,0.1,0.5,0.7,0.672926879636
0.9,0.1,0.5,0.8,0.672926879636
0.9,0.1,0.5,0.9,0.672926879636
0.9,0.1,0.5,1.0,0.672926879636
0.9,0.1,0.6,0.0,0.643908346523
0.9,0.1,0.6,0.1,0.654616939901
0.9,0.1,0.6,0.2,0.654616939901
0.9,0.1,0.6,0.3,0.672926879636
0.9,0.1,0.6,0.4,0.672926879636
0.9,0.1,0.6,0.5,0.672926879636
0.1,0.0,0.3,0.8,0.672926879636
0.0,0.1,0.3,0.7,0.672926879636
0.9,0.1,0.6,0.6,0.672926879636
0.9,0.1,0.6,0.7,0.672926879636
0.9,0.1,0.6,0.8,0.672926879636
0.9,0.1,0.6,0.9,0.672926879636
0.9,0.1,0.6,1.0,0.672926879636
0.9,0.1,0.7,0.0,0.643908346523
0.9,0.1,0.7,0.1,0.654616939901
0.9,0.1,0.7,0.2,0.654616939901
0.9,0.1,0.7,0.3,0.654616939901
0.9,0.1,0.7,0.4,0.672926879636
0.1,0.0,0.3,0.9,0.672926879636
0.9,0.1,0.7,0.5,0.672926879636
0.9,0.1,0.7,0.6,0.672926879636
0.9,0.1,0.7,0.7,0.672926879636
0.9,0.1,0.7,0.8,0.672926879636
0.9,0.1,0.7,0.9,0.672926879636
0.9,0.1,0.7,1.0,0.672926879636
0.9,0.1,0.8,0.0,0.643908346523
0.9,0.1,0.8,0.1,0.654616939901
0.9,0.1,0.8,0.2,0.654616939901
0.9,0.1,0.8,0.3,0.654616939901
0.1,0.0,0.3,1.0,0.672926879636
0.9,0.1,0.8,0.4,0.654616939901
0.9,0.1,0.8,0.5,0.672926879636
0.9,0.1,0.8,0.6,0.672926879636
0.9,0.1,0.8,0.7,0.672926879636
0.9,0.1,0.8,0.8,0.672926879636
0.9,0.1,0.8,0.9,0.672926879636
0.9,0.1,0.8,1.0,0.672926879636
0.9,0.1,0.9,0.0,0.643908346523
0.9,0.1,0.9,0.1,0.654616939901
0.9,0.1,0.9,0.2,0.654616939901
0.1,0.0,0.4,0.0,0.654616939901
0.9,0.1,0.9,0.3,0.654616939901
0.9,0.1,0.9,0.4,0.654616939901
0.9,0.1,0.9,0.5,0.654616939901
0.9,0.1,0.9,0.6,0.672926879636
0.9,0.1,0.9,0.7,0.672926879636
0.9,0.1,0.9,0.8,0.672926879636
0.9,0.1,0.9,0.9,0.672926879636
0.9,0.1,0.9,1.0,0.672926879636
0.9,0.1,1.0,0.0,0.643908346523
0.9,0.1,1.0,0.2,0.654616939901
0.1,0.0,0.4,0.1,0.654616939901
0.9,0.1,1.0,0.3,0.654616939901
0.9,0.1,1.0,0.4,0.654616939901
0.9,0.1,1.0,0.5,0.654616939901
0.9,0.1,1.0,0.6,0.654616939901
0.9,0.1,1.0,0.7,0.672926879636
0.9,0.1,1.0,0.8,0.672926879636
0.9,0.1,1.0,0.9,0.672926879636
0.9,0.1,1.0,1.0,0.672926879636
0.9,0.2,0.0,0.0,0.644002167159
0.9,0.2,0.0,0.1,0.662218286258
0.1,0.0,0.4,0.2,0.654616939901
0.9,0.2,0.0,0.2,0.672926879636
0.9,0.2,0.0,0.3,0.672926879636
0.9,0.2,0.0,0.4,0.672926879636
0.9,0.2,0.0,0.5,0.672926879636
0.9,0.2,0.0,0.6,0.672926879636
0.9,0.2,0.0,0.7,0.672926879636
0.9,0.2,0.0,0.8,0.672926879636
0.9,0.2,0.0,0.9,0.672926879636
0.9,0.2,0.0,1.0,0.672926879636
0.9,0.2,0.1,0.0,0.644002167159
0.1,0.0,0.4,0.3,0.654616939901
0.9,0.2,0.1,0.1,0.662218286258
0.9,0.2,0.1,0.2,0.672926879636
0.9,0.2,0.1,0.3,0.672926879636
0.9,0.2,0.1,0.4,0.672926879636
0.9,0.2,0.1,0.5,0.672926879636
0.9,0.2,0.1,0.6,0.672926879636
0.9,0.2,0.1,0.7,0.672926879636
0.9,0.2,0.1,0.8,0.672926879636
0.9,0.2,0.1,0.9,0.672926879636
0.9,0.2,0.1,1.0,0.672926879636
0.1,0.0,0.4,0.4,0.672926879636
0.9,0.2,0.2,0.0,0.644002167159
0.9,0.2,0.2,0.1,0.662218286258
0.9,0.2,0.2,0.2,0.672926879636
0.9,0.2,0.2,0.3,0.672926879636
0.9,0.2,0.2,0.4,0.672926879636
0.9,0.2,0.2,0.5,0.672926879636
0.9,0.2,0.2,0.6,0.672926879636
0.9,0.2,0.2,0.7,0.672926879636
0.9,0.2,0.2,0.8,0.672926879636
0.9,0.2,0.2,0.9,0.672926879636
0.1,0.0,0.4,0.5,0.672926879636
0.9,0.2,0.2,1.0,0.672926879636
0.9,0.2,0.3,0.0,0.644002167159
0.9,0.2,0.3,0.1,0.662218286258
0.9,0.2,0.3,0.2,0.672926879636
0.9,0.2,0.3,0.3,0.672926879636
0.9,0.2,0.3,0.4,0.672926879636
0.9,0.2,0.3,0.5,0.672926879636
0.9,0.2,0.3,0.6,0.672926879636
0.9,0.2,0.3,0.7,0.672926879636
0.9,0.2,0.3,0.8,0.672926879636
0.1,0.0,0.4,0.6,0.672926879636
0.9,0.2,0.3,0.9,0.672926879636
0.9,0.2,0.3,1.0,0.672926879636
0.9,0.2,0.4,0.0,0.625692227424
0.9,0.2,0.4,0.1,0.662218286258
0.9,0.2,0.4,0.2,0.672926879636
0.9,0.2,0.4,0.3,0.672926879636
0.9,0.2,0.4,0.4,0.672926879636
0.9,0.2,0.4,0.5,0.672926879636
0.9,0.2,0.4,0.6,0.672926879636
0.9,0.2,0.4,0.7,0.672926879636
0.1,0.0,0.4,0.7,0.672926879636
0.0,0.1,0.3,0.8,0.672926879636
0.0,0.0,0.1,0.8,0.672926879636
0.9,0.2,0.4,0.8,0.672926879636
0.9,0.2,0.4,0.9,0.672926879636
0.9,0.2,0.4,1.0,0.672926879636
0.9,0.2,0.5,0.0,0.625692227424
0.9,0.2,0.5,0.1,0.643908346523
0.9,0.2,0.5,0.2,0.672926879636
0.9,0.2,0.5,0.3,0.672926879636
0.9,0.2,0.5,0.4,0.672926879636
0.9,0.2,0.5,0.5,0.672926879636
0.9,0.2,0.5,0.6,0.672926879636
0.1,0.0,0.4,0.8,0.672926879636
0.9,0.2,0.5,0.7,0.672926879636
0.9,0.2,0.5,0.8,0.672926879636
0.9,0.2,0.5,0.9,0.672926879636
0.9,0.2,0.5,1.0,0.672926879636
0.9,0.2,0.6,0.0,0.625692227424
0.9,0.2,0.6,0.1,0.643908346523
0.9,0.2,0.6,0.2,0.654616939901
0.9,0.2,0.6,0.3,0.672926879636
0.9,0.2,0.6,0.4,0.672926879636
0.9,0.2,0.6,0.5,0.672926879636
0.1,0.0,0.4,0.9,0.672926879636
0.9,0.2,0.6,0.6,0.672926879636
0.9,0.2,0.6,0.7,0.672926879636
0.9,0.2,0.6,0.8,0.672926879636
0.9,0.2,0.6,0.9,0.672926879636
0.9,0.2,0.6,1.0,0.672926879636
0.9,0.2,0.7,0.0,0.625692227424
0.9,0.2,0.7,0.1,0.643908346523
0.9,0.2,0.7,0.2,0.654616939901
0.9,0.2,0.7,0.3,0.654616939901
0.9,0.2,0.7,0.4,0.672926879636
0.1,0.0,0.4,1.0,0.672926879636
0.9,0.2,0.7,0.5,0.672926879636
0.9,0.2,0.7,0.6,0.672926879636
0.9,0.2,0.7,0.7,0.672926879636
0.9,0.2,0.7,0.8,0.672926879636
0.9,0.2,0.7,0.9,0.672926879636
0.9,0.2,0.7,1.0,0.672926879636
0.9,0.2,0.8,0.0,0.625692227424
0.9,0.2,0.8,0.1,0.643908346523
0.9,0.2,0.8,0.2,0.654616939901
0.9,0.2,0.8,0.3,0.654616939901
0.1,0.0,0.5,0.0,0.654616939901
0.9,0.2,0.8,0.4,0.654616939901
0.9,0.2,0.8,0.5,0.672926879636
0.9,0.2,0.8,0.6,0.672926879636
0.9,0.2,0.8,0.7,0.672926879636
0.9,0.2,0.8,0.8,0.672926879636
0.9,0.2,0.8,0.9,0.672926879636
0.9,0.2,0.8,1.0,0.672926879636
0.9,0.2,0.9,0.0,0.625692227424
0.9,0.2,0.9,0.1,0.643908346523
0.9,0.2,0.9,0.2,0.654616939901
0.1,0.0,0.5,0.1,0.654616939901
0.9,0.2,0.9,0.3,0.654616939901
0.9,0.2,0.9,0.4,0.654616939901
0.9,0.2,0.9,0.5,0.654616939901
0.9,0.2,0.9,0.6,0.672926879636
0.9,0.2,0.9,0.7,0.672926879636
0.9,0.2,0.9,0.8,0.672926879636
0.9,0.2,0.9,0.9,0.672926879636
0.9,0.2,0.9,1.0,0.672926879636
0.9,0.2,1.0,0.0,0.625692227424
0.9,0.2,1.0,0.2,0.654616939901
0.1,0.0,0.5,0.2,0.654616939901
0.9,0.2,1.0,0.3,0.654616939901
0.9,0.2,1.0,0.4,0.654616939901
0.9,0.2,1.0,0.5,0.654616939901
0.9,0.2,1.0,0.6,0.654616939901
0.9,0.2,1.0,0.7,0.672926879636
0.9,0.2,1.0,0.8,0.672926879636
0.9,0.2,1.0,0.9,0.672926879636
0.9,0.2,1.0,1.0,0.672926879636
0.9,0.3,0.0,0.1,0.644002167159
0.9,0.3,0.0,0.2,0.662218286258
0.1,0.0,0.5,0.3,0.654616939901
0.9,0.3,0.0,0.4,0.672926879636
0.9,0.3,0.0,0.5,0.672926879636
0.9,0.3,0.0,0.7,0.672926879636
0.9,0.3,0.0,0.8,0.672926879636
0.9,0.3,0.0,1.0,0.672926879636
0.9,0.3,0.1,0.0,0.625674119426
0.9,0.3,0.1,0.1,0.644002167159
0.9,0.3,0.1,0.2,0.662218286258
0.9,0.3,0.1,0.3,0.672926879636
0.9,0.3,0.1,0.4,0.672926879636
0.1,0.0,0.5,0.4,0.654616939901
0.9,0.3,0.1,0.5,0.672926879636
0.9,0.3,0.1,0.6,0.672926879636
0.9,0.3,0.1,0.7,0.672926879636
0.9,0.3,0.1,0.8,0.672926879636
0.9,0.3,0.1,0.9,0.672926879636
0.9,0.3,0.1,1.0,0.672926879636
0.9,0.3,0.2,0.0,0.625674119426
0.9,0.3,0.2,0.1,0.644002167159
0.9,0.3,0.2,0.2,0.662218286258
0.9,0.3,0.2,0.3,0.672926879636
0.1,0.0,0.5,0.5,0.672926879636
0.9,0.3,0.2,0.4,0.672926879636
0.9,0.3,0.2,0.5,0.672926879636
0.9,0.3,0.2,0.6,0.672926879636
